N° Personal,Cédula de Identidad,Nombre del Trabajador,Adscripción Académica,Unidad Superior,Unidad,Nombre de la Posición,Tipo de Trabajador,Fecha de Inicio de Contrato,Horas de Contrato,Categoría 2020,Fecha Categoría 2020,Categoría 2023,Fecha Categoría 2023,Categoría,Fecha Categoría,Calificación 2023,Concepto 2023,Observación Calificación 2023,Resumen Evaluación 2023,Calificación 2024,Concepto 2024,Observación Calificación 2024,Resumen Evaluación 2024,Calificación 2025,Concepto Resultado 2025,Observación Calificación 2025,Resumen Calificación 2025
10001,12.345.678-9,Juan Carlos Pérez Muñoz,Ingeniería,Facultad de Ciencias de la Ingeniería,Departamento de Computación e Informática,Académico Titular,Académico,01/03/2015,44,asociado,15/03/2018,titular,20/06/2023,titular,20/06/2023,4.5,Excelente,Destacado en investigación,Publicó 4 artículos ISI y lideró 2 proyectos Fondecyt,4.6,Excelente,Mantiene alto nivel de productividad,Continuó con líneas de investigación consolidadas,4.8,Excelente,Destaca en investigación y docencia,Consolidación como referente en su área de especialización
10002,13.456.789-0,María Soledad González Rojas,Ingeniería,Facultad de Ciencias de la Ingeniería,Departamento de Obras Civiles,Académico Asociado,Académico,15/08/2017,44,asistente,20/09/2020,asociado,15/03/2024,asociado,15/03/2024,3.9,Bueno,Buen desempeño en docencia,Evaluaciones docentes sobre 4.5 en promedio,4.1,Muy Bueno,Mejoró en investigación aplicada,Participó en proyectos con empresas regionales,4.2,Muy Bueno,Buena evaluación general,Equilibrio entre docencia e investigación aplicada
10003,14.567.890-1,Pedro Antonio Silva Lagos,Ingeniería,Facultad de Ciencias de la Ingeniería,Departamento de Computación e Informática,Académico Asistente,Académico,01/03/2019,22,instructor,05/04/2021,asistente,10/08/2024,asistente,10/08/2024,3.5,Bueno,En proceso de consolidación,Trabaja en tesis doctoral y docencia pregrado,3.7,Bueno,Avances en formación doctoral,Aprobó candidatura doctoral y publicó 1 artículo Scopus,3.9,Bueno,Cumple con los estándares,Progresión positiva en carrera académica
10004,15.678.901-2,Ana Beatriz Morales Castro,Ingeniería,Facultad de Ciencias de la Ingeniería,Departamento de Ingeniería Industrial,Académico Adjunto,Académico,10/09/2020,18,adjunto,10/09/2020,adjunto,10/09/2020,adjunto,10/09/2020,4.2,Muy Bueno,Excelente integración,Rápida adaptación a la institución y buen desempeño docente,4.4,Muy Bueno,Destaca en vinculación con medio,Gestionó convenios con 3 empresas locales,4.5,Excelente,Excelente desempeño en su primer quinquenio,Liderazgo en proyectos de vinculación con el medio
10005,16.789.012-3,Carlos Eduardo Fernández Soto,Ingeniería,Facultad de Ciencias de la Ingeniería,Departamento de Computación e Informática,Académico Instructor,Académico,01/03/2022,22,instructor,01/03/2022,instructor,01/03/2022,instructor,01/03/2022,,,Sin calificación previa,Primer año de contrato,3.6,Bueno,Cumple con carga docente,Evaluaciones docentes satisfactorias para primer año,3.8,Bueno,Progreso en adaptación,Integración positiva al departamento
10006,17.890.123-4,Patricia Isabel Ramírez Vega,Ingeniería,Facultad de Ciencias de la Ingeniería,Departamento de Obras Civiles,Académico Asociado,Académico,15/04/2016,44,asistente,12/05/2019,asociado,18/11/2023,asociado,18/11/2023,3.8,Bueno,Sólida labor en extensión,Coordinó 2 cursos de capacitación para sector público,4.0,Bueno,Incrementó actividades de investigación,Postuló a proyecto interno y obtuvo financiamiento,4.1,Muy Bueno,Buen trabajo en extensión,Equilibrio entre extensión e investigación
20001,18.901.234-5,Roberto Luis Hernández Bravo,Administración,Facultad de Ciencias Administrativas y Forestales,Departamento de Administración de Empresas,Académico Titular,Académico,01/08/2014,44,asociado,10/10/2017,titular,22/03/2021,titular,22/03/2021,4.6,Excelente,Liderazgo académico destacado,Director de programa de magíster y alta productividad,4.7,Excelente,Referente nacional en su disciplina,Invitado como experto en comisiones ministeriales,4.7,Excelente,Liderazgo institucional destacado,Contribución estratégica al desarrollo institucional
20002,19.012.345-6,Carmen Gloria Torres Medina,Administración,Facultad de Ciencias Administrativas y Forestales,Departamento de Economía y Finanzas,Académico Asociado,Académico,20/03/2018,44,asistente,15/08/2021,asociado,12/06/2024,asociado,12/06/2024,4.0,Bueno,Buena docencia y gestión,Coordinadora de área y alta carga administrativa,4.2,Muy Bueno,Destaca en formación de pregrado,Innovación en metodologías de enseñanza,4.3,Muy Bueno,Sólido desempeño académico,Balance efectivo entre docencia y gestión académica
20003,20.123.456-7,Francisco Javier Núñez Pinto,Forestal,Facultad de Ciencias Administrativas y Forestales,Departamento de Ciencias Forestales,Académico Asistente,Académico,01/09/2019,22,instructor,01/09/2019,asistente,25/04/2023,asistente,25/04/2023,3.6,Bueno,Cumple estándares básicos,Docencia en terreno y trabajo de laboratorio,3.7,Bueno,Avances en investigación aplicada,Participación en proyecto FIC regional,3.8,Bueno,Progreso satisfactorio,Consolidación en investigación forestal aplicada
20004,11.234.567-8,Daniela Andrea Castillo Fuentes,Administración,Facultad de Ciencias Administrativas y Forestales,Departamento de Administración de Empresas,Académico Adjunto,Académico,15/03/2021,18,adjunto,15/03/2021,adjunto,15/03/2021,adjunto,15/03/2021,,,Primera evaluación,Período de inducción,3.9,Bueno,Buen inicio de carrera,Activa participación en actividades departamentales,4.0,Bueno,Cumple expectativas,Desarrollo positivo en primeros años
